latitude	longitude	height	id
706957	7512561	11	TCAN3815-3816
706944	7512526	8	TCAN3815-3816
707052	7512776	20	TCAN3815-3816
707053	7512585	8	TCAN3815-3816
706351	7513455	5	TCAN5358-5362
706351	7513455	5	TCAN5358-5362
706351	7513455	5	TCAN5358-5362
706351	7513455	5	TCAN5358-5362
706214	7513405	15	TCAN5358-5362
706191	7513457	18	TCAN5358-5362
706351	7513455	5	TCAN5358-5362
706137	7513428	9	TCAN5358-5362
706309	7513491	3	TCAN5358-5362
706349	7513449	3	TCAN5358-5362
706293	7513522	12	TCAN5358-5362
706387	7513462	2	TCAN5358-5362
706384	7513456	4	TCAN5358-5362
706349	7513449	4	TCAN5358-5362
707015	7512634	18	TCAN3805-3819
707015	7512634	18	TCAN3805-3819
707015	7512634	18	TCAN3805-3819
707000	7512733	10	TCAN3805-3819
706958	7512664	15	TCAN3805-3819
707015	7512634	18	TCAN3805-3819
706926	7512767	7.5	TCAN3805-3819
706930	7512764	7.5	TCAN3805-3819
706930	7512764	12	TCAN3805-3819
707009	7512737	15	TCAN3805-3819
707009	7512737	12	TCAN3805-3819
706985	7512747	15	TCAN3805-3819
706898	7512767	10	TCAN3805-3819
707015	7512634	18	TCAN3805-3819
706865	7512838	10	TCAN3805-3819
706865	7512838	16	TCAN3805-3819
706956	7512749	8	TCAN3805-3819
